#!/bin/bash
### All planets on exoplanets.org with the filter PLANETDISCMETH = Transit
### and with mass values > 0.0 (TRANSIT == 1 && MSINI[mjupiter] > 0.0)
### These were obtained on 4/March/2015 [CBH]
###   NAME      MSINI       A         Mstar
###            mjupiter     au        Msun
    WASP-44-b   8.88e-01   3.47e-02   9.51e-01
    WASP-45-b   1.00e+00   4.05e-02   9.09e-01
    WASP-46-b   2.08e+00   2.45e-02   9.56e-01
    WASP-47-b   1.14e+00   5.20e-02   1.08e+00
    WASP-48-b   9.70e-01   3.45e-02   1.19e+00
    WASP-49-b   3.77e-01   3.79e-02   9.38e-01
     WASP-5-b   1.62e+00   2.72e-02   1.01e+00
    WASP-50-b   1.46e+00   2.95e-02   8.92e-01
    WASP-52-b   4.56e-01   2.71e-02   8.70e-01
    WASP-54-b   6.30e-01   4.99e-02   1.21e+00
    WASP-55-b   5.71e-01   5.33e-02   1.01e+00
    WASP-56-b   6.05e-01   5.61e-02   1.11e+00
    WASP-57-b   6.75e-01   3.86e-02   9.54e-01
    WASP-58-b   8.90e-01   5.62e-02   9.40e-01
    WASP-59-b   8.59e-01   6.97e-02   7.19e-01
     WASP-6-b   5.21e-01   4.29e-02   9.30e-01
    WASP-60-b   5.12e-01   5.31e-02   1.08e+00
    WASP-61-b   2.05e+00   5.14e-02   1.22e+00
    WASP-62-b   5.62e-01   5.67e-02   1.25e+00
    WASP-63-b   3.78e-01   5.75e-02   1.32e+00
    WASP-64-b   1.27e+00   2.65e-02   1.00e+00
    WASP-66-b   2.31e+00   5.46e-02   1.30e+00
    WASP-67-b   4.18e-01   5.18e-02   8.70e-01
     WASP-7-b   9.19e-01   6.05e-02   1.20e+00
    WASP-71-b   2.25e+00   4.63e-02   1.57e+00
    WASP-72-b   1.41e+00   3.66e-02   1.33e+00
    WASP-75-b   1.06e+00   3.75e-02   1.14e+00
  WASP-77-A-b   1.76e+00   2.41e-02   1.00e+00
    WASP-78-b   8.78e-01   3.61e-02   1.33e+00
    WASP-79-b   8.85e-01   5.35e-02   1.52e+00
     WASP-8-b   2.14e+00   8.02e-02   1.03e+00
    WASP-80-b   5.52e-01   3.45e-02   5.80e-01
      WTS-1-b   3.99e+00   4.66e-02   1.20e+00
       XO-1-b   9.18e-01   4.93e-02   1.03e+00
       XO-2-b   5.66e-01   3.68e-02   9.74e-01
       XO-3-b   1.31e+01   4.77e-02   1.41e+00
       XO-4-b   1.60e+00   5.52e-02   1.32e+00
       XO-5-b   1.15e+00   5.09e-02   1.00e+00
