#!/bin/bash
### All planets on exoplanets.org with the filter PLANETDISCMETH = RV
### and with mass values > 0.0 (PLANETDISCMETH == 'RV' && MSINI[mjupiter] > 0.0)
### These were obtained on 4/March/2015 [CBH]
###    NAME        MSINI        A        Mstar
###               mjupiter      au       Msun
    HD-204941-b   2.67e-01   2.55e+00   7.40e-01
    HD-205739-b   1.49e+00   8.95e-01   1.22e+00
    HD-206610-b   1.97e+00   1.54e+00   1.30e+00
     HD-20782-b   1.90e+00   1.37e+00   9.69e-01
    HD-207832-b   5.64e-01   5.70e-01   9.40e-01
    HD-207832-c   7.30e-01   2.11e+00   9.40e-01
     HD-20794-b   8.49e-03   1.21e-01   7.00e-01
     HD-20794-c   7.44e-03   2.04e-01   7.00e-01
     HD-20794-d   1.48e-02   3.50e-01   7.00e-01
    HD-208487-b   5.12e-01   5.21e-01   1.11e+00
    HD-208527-b   1.00e+01   2.10e+00   1.60e+00
     HD-20868-b   2.01e+00   9.47e-01   7.80e-01
    HD-209458-b   6.89e-01   4.72e-02   1.13e+00
    HD-210277-b   1.27e+00   1.13e+00   9.86e-01
    HD-210702-b   1.86e+00   1.17e+00   1.71e+00
    HD-212301-b   3.96e-01   3.41e-02   1.05e+00
    HD-212771-b   2.70e+00   1.16e+00   1.51e+00
    HD-213240-b   4.53e+00   1.89e+00   1.14e+00
    HD-215497-b   2.09e-02   4.66e-02   8.72e-01
    HD-215497-c   3.28e-01   1.28e+00   8.72e-01
    HD-216437-b   2.17e+00   2.49e+00   1.12e+00
    HD-216770-b   6.47e-01   4.56e-01   9.00e-01
    HD-217107-b   1.40e+00   7.50e-02   1.11e+00
    HD-217107-c   2.62e+00   5.33e+00   1.11e+00
    HD-217786-b   1.32e+01   2.38e+00   1.02e+00
    HD-218566-b   2.13e-01   6.87e-01   8.50e-01
    HD-219828-b   6.22e-02   5.15e-02   1.24e+00
    HD-220074-b   1.12e+01   1.60e+00   1.20e+00
    HD-220773-b   1.45e+00   4.94e+00   1.16e+00
    HD-221287-b   3.12e+00   1.25e+00   1.25e+00
    HD-222155-b   2.03e+00   5.14e+00   1.13e+00
    HD-222582-b   7.63e+00   1.34e+00   9.65e-01
    HD-224693-b   7.15e-01   1.92e-01   1.33e+00
     HD-22781-b   1.38e+01   1.17e+00   7.50e-01
     HD-23079-b   2.44e+00   1.60e+00   1.01e+00
     HD-23127-b   1.40e+00   2.32e+00   1.13e+00
    HD-231701-b   1.09e+00   5.56e-01   1.14e+00
     HD-23596-b   7.74e+00   2.77e+00   1.16e+00
    HD-240210-b   7.29e+00   1.33e+00   1.25e+00
    HD-240237-b   5.32e+00   1.92e+00   1.69e+00
     HD-24040-b   4.02e+00   4.92e+00   1.18e+00
     HD-25171-b   9.56e-01   3.03e+00   1.09e+00
      HD-2638-b   4.77e-01   4.36e-02   9.30e-01
     HD-27894-b   6.18e-01   1.22e-01   7.50e-01
     HD-28185-b   5.80e+00   1.02e+00   9.90e-01
     HD-28254-b   1.16e+00   2.15e+00   1.06e+00
     HD-28678-b   1.90e+00   1.32e+00   2.03e+00
    HD-290327-b   2.55e+00   3.43e+00   9.00e-01
      HD-2952-b   1.62e+00   1.23e+00   2.54e+00
     HD-30177-b   9.69e+00   3.81e+00   9.51e-01
     HD-30562-b   1.33e+00   2.34e+00   1.28e+00
     HD-30856-b   1.86e+00   2.04e+00   1.36e+00
     HD-31253-b   5.01e-01   1.26e+00   1.23e+00
     HD-32518-b   3.35e+00   5.95e-01   1.13e+00
    HD-330075-b   6.24e-01   3.92e-02   7.00e-01
     HD-33142-b   1.41e+00   1.09e+00   1.62e+00
     HD-33283-b   3.30e-01   1.45e-01   1.24e+00
     HD-33564-b   9.13e+00   1.12e+00   1.25e+00
     HD-33636-b   9.27e+00   3.27e+00   1.02e+00
     HD-34445-b   7.91e-01   2.07e+00   1.07e+00
      HD-3651-b   2.29e-01   2.95e-01   8.82e-01
     HD-37124-b   6.74e-01   5.34e-01   8.50e-01
     HD-37124-c   6.48e-01   1.71e+00   8.50e-01
     HD-37124-d   6.87e-01   2.81e+00   8.50e-01
     HD-37605-b   2.80e+00   2.83e-01   1.00e+00
     HD-37605-c   3.37e+00   3.82e+00   1.00e+00
     HD-38283-b   3.38e-01   1.02e+00   1.08e+00
     HD-38529-b   8.03e-01   1.27e-01   1.34e+00
     HD-38529-c   1.23e+01   3.60e+00   1.34e+00
     HD-38801-b   1.00e+01   1.65e+00   1.22e+00
     HD-39091-b   1.01e+01   3.35e+00   1.07e+00
     HD-40307-b   1.29e-02   4.69e-02   7.40e-01
     HD-40307-c   2.11e-02   8.01e-02   7.40e-01
     HD-40307-d   2.81e-02   1.32e-01   7.40e-01
     HD-40979-b   4.02e+00   8.46e-01   1.15e+00
      HD-4113-b   1.65e+00   1.27e+00   9.90e-01
      HD-4203-b   2.08e+00   1.17e+00   1.13e+00
      HD-4208-b   8.07e-01   1.65e+00   8.79e-01
      HD-4308-b   4.77e-02   1.19e-01   9.33e-01
      HD-4313-b   2.17e+00   1.13e+00   1.53e+00
     HD-43197-b   5.97e-01   9.18e-01   9.60e-01
     HD-43691-b   2.50e+00   2.42e-01   1.38e+00
     HD-44219-b   5.89e-01   1.19e+00   1.00e+00
     HD-45350-b   1.84e+00   1.94e+00   1.05e+00
     HD-45364-b   1.87e-01   6.82e-01   8.20e-01
     HD-45364-c   6.59e-01   8.98e-01   8.20e-01
     HD-45652-b   4.68e-01   2.28e-01   8.30e-01
     HD-46375-b   2.27e-01   3.99e-02   9.27e-01
     HD-47186-b   7.12e-02   4.98e-02   9.90e-01
     HD-47186-c   3.48e-01   2.39e+00   9.90e-01
      HD-4732-b   2.38e+00   1.19e+00   1.74e+00
      HD-4732-c   2.36e+00   4.60e+00   1.74e+00
     HD-48265-b   1.21e+00   1.59e+00   9.30e-01
     HD-49674-b   1.02e-01   5.71e-02   1.01e+00
     HD-50499-b   1.74e+00   3.87e+00   1.28e+00
     HD-50554-b   4.40e+00   2.26e+00   1.02e+00
     HD-52265-b   1.07e+00   5.00e-01   1.17e+00
      HD-5319-b   1.70e+00   1.64e+00   1.28e+00
      HD-5388-b   1.97e+00   1.76e+00   1.21e+00
      HD-5608-b   1.47e+00   1.99e+00   1.66e+00
      HD-5891-b   5.23e+00   6.36e-01   1.09e+00
     HD-60532-b   1.03e+00   7.59e-01   1.44e+00
     HD-60532-c   2.46e+00   1.58e+00   1.44e+00
     HD-63454-b   3.85e-01   3.63e-02   8.00e-01
     HD-63765-b   6.44e-01   9.40e-01   8.65e-01
      HD-6434-b   3.97e-01   1.42e-01   7.90e-01
     HD-65216-b   1.22e+00   1.37e+00   9.20e-01
     HD-66428-b   2.75e+00   3.14e+00   1.06e+00
      HD-6718-b   1.56e+00   3.55e+00   9.60e-01
     HD-68988-b   1.80e+00   6.93e-02   1.12e+00
     HD-69830-b   3.16e-02   7.82e-02   8.49e-01
     HD-69830-c   3.68e-02   1.85e-01   8.49e-01
     HD-69830-d   5.63e-02   6.27e-01   8.49e-01
     HD-70642-b   1.91e+00   3.18e+00   1.00e+00
      HD-7199-b   2.95e-01   1.36e+00   8.90e-01
     HD-72659-b   3.17e+00   4.75e+00   1.07e+00
     HD-73256-b   1.87e+00   3.71e-02   1.05e+00
     HD-73267-b   3.06e+00   2.20e+00   8.90e-01
     HD-73526-b   2.86e+00   6.47e-01   1.01e+00
     HD-73526-c   2.42e+00   1.03e+00   1.01e+00
     HD-73534-b   1.07e+00   3.02e+00   1.17e+00
     HD-74156-b   1.77e+00   2.92e-01   1.24e+00
